RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 7,2019,29/3/2019,Selangor FC,Selangor,Terengganu FC,Terengganu,1,0,1,H
Round 7,2019,30/3/2019,Felda United FC,Pahang,Sri Pahang FC,Pahang,1,3,-2,A
Round 7,2019,30/3/2019,Petaling Jaya City FC,Selangor,PKNS FC,Selangor,1,0,1,H
Round 7,2019,30/3/2019,PKNP FC,Perak,Kuala Lumpur City FC,Kuala Lumpur,4,0,4,H
Round 8,2019,5/4/2019,JDT,Johor,Felda United FC,Pahang,3,1,2,H
Round 8,2019,6/4/2019,Kuala Lumpur City FC,Kuala Lumpur,Kedah Darul Aman FC,Kedah,2,1,1,H
Round 8,2019,6/4/2019,Melaka United FC,Melaka,Selangor FC,Selangor,3,4,-1,A
Round 8,2019,6/4/2019,Terengganu FC,Terengganu,PKNP FC,Perak,1,2,-1,A
Round 8,2019,7/4/2019,Sri Pahang FC,Pahang,Petaling Jaya City FC,Selangor,1,1,0,D
Round 8,2019,7/4/2019,Perak FC,Perak,PKNS FC,Selangor,2,2,0,D
Round 9,2019,12/4/2019,Kedah Darul Aman FC,Kedah,Terengganu FC,Terengganu,3,0,3,H
Round 9,2019,12/4/2019,Selangor FC,Selangor,Perak FC,Perak,1,1,0,D
Round 9,2019,13/4/2019,Felda United FC,Pahang,Kuala Lumpur City FC,Kuala Lumpur,1,1,0,D
Round 9,2019,13/4/2019,Petaling Jaya City FC,Selangor,JDT,Johor,0,1,-1,A
Round 9,2019,13/4/2019,PKNP FC,Perak,Melaka United FC,Melaka,1,0,1,H
Round 9,2019,14/4/2019,PKNS FC,Selangor,Sri Pahang FC,Pahang,1,2,-1,A
Round 10,2019,19/4/2019,Terengganu FC,Terengganu,Felda United FC,Pahang,2,1,1,H
Round 10,2019,20/4/2019,JDT,Johor,PKNS FC,Selangor,3,1,2,H
Round 10,2019,20/4/2019,Kuala Lumpur City FC,Kuala Lumpur,Petaling Jaya City FC,Selangor,1,0,1,H
Round 10,2019,20/4/2019,Perak FC,Perak,Sri Pahang FC,Pahang,0,1,-1,A
Round 10,2019,20/4/2019,Selangor FC,Selangor,PKNP FC,Perak,2,1,1,H
Round 10,2019,21/4/2019,Melaka United FC,Melaka,Kedah Darul Aman FC,Kedah,1,0,1,H
Round 11,2019,26/4/2019,Felda United FC,Pahang,Melaka United FC,Melaka,1,1,0,D
Round 11,2019,26/4/2019,Kedah Darul Aman FC,Kedah,Selangor FC,Selangor,1,1,0,D
Round 11,2019,27/4/2019,Petaling Jaya City FC,Selangor,Terengganu FC,Terengganu,1,2,-1,A
Round 11,2019,27/4/2019,PKNP FC,Perak,Perak FC,Perak,0,4,-4,A
Round 11,2019,27/4/2019,PKNS FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,3,2,1,H
Round 11,2019,28/4/2019,Sri Pahang FC,Pahang,JDT,Johor,1,1,0,D
Round 12,2019,3/5/2019,Kedah Darul Aman FC,Kedah,Kuala Lumpur City FC,Kuala Lumpur,5,2,3,H
Round 12,2019,3/5/2019,PKNS FC,Selangor,Perak FC,Perak,3,3,0,D
Round 12,2019,4/5/2019,Felda United FC,Pahang,JDT,Johor,0,2,-2,A
Round 12,2019,4/5/2019,Petaling Jaya City FC,Selangor,Sri Pahang FC,Pahang,2,0,2,H
Round 12,2019,4/5/2019,PKNP FC,Perak,Terengganu FC,Terengganu,2,2,0,D
